# Displaying trades for selected time interval: Session
name,date,quantity,price,state
Mahogany hull parts,2026-05-22 12:00 PM,40,5864,CANCELLED_BUY
Mahogany hull parts,2026-05-22 12:08 PM,30,7835,SELLING
# Total profit: 59130

Dragon impling jar,2026-05-22 11:35 AM,19,450326,CANCELLED_BUY
Dragon impling jar,2026-05-22 12:00 PM,25,450507,CANCELLED_BUY
# Total profit: 0

Blessed spirit shield,2026-05-22 09:34 AM,1,1133224,BOUGHT
# Total profit: 0

Claws of callisto,2026-05-21 04:38 PM,1,51908,BOUGHT
# Total profit: 0

Viggora's chainmace (u),2026-05-21 04:38 PM,1,5340000,BOUGHT
# Total profit: 0

Dragon metal sheet,2026-05-21 03:44 PM,2,797000,BOUGHT
Dragon metal sheet,2026-05-21 03:51 PM,2,797000,BOUGHT
Dragon metal sheet,2026-05-21 05:09 PM,2,764924,BUYING
Dragon metal sheet,2026-05-22 12:04 PM,10,700000,BOUGHT
# Total profit: 0

Magic sapling,2026-05-21 03:36 PM,125,93359,BOUGHT
Magic sapling,2026-05-21 05:01 PM,125,93576,SOLD
# Total profit: 27125

Large dragon keel parts,2026-05-21 03:22 PM,1,3528000,SOLD
# Total profit: 0

Arceuus library teleport,2026-05-21 03:26 PM,15,2904,CANCELLED_BUY
Arceuus library teleport,2026-05-21 03:41 PM,15,3864,SOLD
# Total profit: 14400

Dragon keel parts,2026-05-21 02:29 PM,2,1605247,CANCELLED_BUY
Dragon keel parts,2026-05-21 03:48 PM,1,1918163,SOLD
Dragon keel parts,2026-05-21 04:27 PM,1,1655009,SOLD
# Total profit: 362678

Dragon knife(p++),2026-05-21 09:47 AM,648,7372,BOUGHT
Dragon knife(p++),2026-05-21 05:07 PM,648,7517,SOLD
# Total profit: 93960

Draconic visage,2026-05-21 09:33 AM,1,3820681,BOUGHT
# Total profit: 0

Inky paint,2026-05-20 01:37 PM,1,925574,BOUGHT
Inky paint,2026-05-20 01:43 PM,1,1160679,SOLD
# Total profit: 235105

Cotton seed,2026-05-20 01:22 PM,150,8584,BOUGHT
Cotton seed,2026-05-20 01:26 PM,150,9084,SOLD
# Total profit: 75000

