Timestamp,Account,Side,Item,Quantity,Paid/Received,Tax,Price ea.,Part of Flip
2026-05-21T15:42:41Z,Big Timby,SELL,Guardian boots,1,2826116,56523,2826116,NO
2026-05-21T15:18:23Z,Big Timby,BUY,Bandos boots,1,971000,0,971000,YES
2026-05-21T14:42:57Z,Big Timby,BUY,Black tourmaline core,1,1550110,0,1550110,YES
2026-05-21T14:22:46Z,Big Timby,SELL,Nature rune,13563,1708938,40689,126,NO
2026-05-21T14:17:51Z,Big Timby,SELL,Nature rune,100,12600,300,126,NO
2026-05-21T14:16:54Z,Big Timby,SELL,Nature rune,3000,378000,9000,126,NO
2026-05-21T14:14:28Z,Big Timby,SELL,Astral rune,19200,2054400,57600,107,YES
2026-05-21T14:14:22Z,Big Timby,SELL,Nature rune,10000,1260000,30000,126,NO
2026-05-21T14:11:49Z,Big Timby,SELL,Nature rune,100,12600,300,126,NO
2026-05-21T14:04:00Z,Big Timby,SELL,Astral rune,1600,171200,4800,107,YES
2026-05-21T14:01:56Z,Big Timby,SELL,Nature rune,30,3780,90,126,NO
2026-05-21T13:59:53Z,Big Timby,SELL,Nature rune,827,104202,2481,126,YES
2026-05-21T13:56:52Z,Big Timby,SELL,Nature rune,2000,252000,6000,126,NO
2026-05-21T13:54:23Z,Big Timby,SELL,Nature rune,30,3780,90,126,NO
2026-05-21T13:51:55Z,Big Timby,SELL,Nature rune,350,44100,1050,126,NO
2026-05-21T13:47:41Z,Big Timby,BUY,Dragon knife(p++),648,4777056,0,7372,YES
2026-05-21T13:44:34Z,Big Timby,SELL,Astral rune,3000,321000,9000,107,YES
2026-05-21T13:39:40Z,Big Timby,SELL,Ancient godsword,1,40174662,803494,40174662,NO
2026-05-21T13:35:25Z,Big Timby,SELL,Ruby dragon bolts (e),49,140042,2842,2858,YES
2026-05-21T13:35:09Z,Big Timby,SELL,Ruby dragon bolts (e),63,180054,3654,2858,YES
2026-05-21T13:35:08Z,Big Timby,SELL,Ruby dragon bolts (e),200,571600,11600,2858,YES
2026-05-21T13:34:23Z,Big Timby,SELL,Astral rune,1200,128400,3600,107,YES
2026-05-21T13:33:46Z,Big Timby,BUY,Draconic visage,1,3820681,0,3820681,YES
2026-05-21T13:33:20Z,Big Timby,SELL,Ruby dragon bolts (e),100,285800,5800,2858,YES
2026-05-21T13:32:30Z,Big Timby,SELL,Ruby dragon bolts (e),130,371540,7540,2858,YES
2026-05-21T13:31:53Z,Big Timby,SELL,Torstol seed,1,17416,349,17416,YES
2026-05-21T13:31:28Z,Big Timby,SELL,Torstol seed,21,365736,7329,17416,YES
2026-05-21T13:31:27Z,Big Timby,SELL,Ruby dragon bolts (e),1000,2858000,58000,2858,YES
2026-05-21T13:30:47Z,Big Timby,SELL,Torstol seed,22,383152,7678,17416,YES
2026-05-21T13:29:38Z,Big Timby,SELL,Torstol seed,9,156744,3141,17416,YES
2026-05-21T13:29:27Z,Big Timby,SELL,Torstol seed,6,104496,2094,17416,YES
2026-05-21T12:48:40Z,Big Timby,SELL,Nardah teleport,174,4627530,92568,26595,YES
2026-05-21T12:48:40Z,Big Timby,BUY,Astral rune,25000,2500000,0,100,YES
2026-05-21T02:57:09Z,Big Timby,SELL,Serpentine helm (uncharged),1,3609449,72189,3609449,YES
2026-05-21T02:57:05Z,Big Timby,SELL,Serpentine helm (uncharged),1,3609449,72189,3609449,YES
2026-05-21T02:56:14Z,Big Timby,SELL,Serpentine helm (uncharged),1,3609449,72189,3609449,YES
2026-05-21T02:54:27Z,Big Timby,SELL,Torstol seed,6,104040,2082,17340,YES
2026-05-21T02:53:54Z,Big Timby,SELL,Serpentine helm (uncharged),1,3609449,72189,3609449,YES
2026-05-21T02:53:24Z,Big Timby,SELL,Torstol seed,27,468180,9369,17340,YES
2026-05-21T02:53:23Z,Big Timby,SELL,Serpentine helm (uncharged),1,3609449,72189,3609449,YES
2026-05-21T02:52:23Z,Big Timby,SELL,Torstol seed,24,416160,8328,17340,YES
2026-05-21T02:52:17Z,Big Timby,SELL,Torstol seed,17,294780,5899,17340,YES
2026-05-21T02:51:36Z,Big Timby,SELL,Torstol seed,12,208080,4164,17340,YES
2026-05-21T02:50:30Z,Big Timby,SELL,Torstol seed,16,277440,5552,17340,YES
2026-05-21T02:39:01Z,Big Timby,SELL,Cadantine seed,4,30288,608,7572,YES
2026-05-21T02:31:51Z,Big Timby,SELL,Cadantine seed,1,7572,152,7572,YES
2026-05-21T02:27:38Z,Big Timby,SELL,Cadantine seed,7,53004,1064,7572,YES
2026-05-21T02:27:23Z,Big Timby,SELL,Cadantine seed,8,60576,1216,7572,YES
2026-05-21T02:26:03Z,Big Timby,SELL,Cadantine seed,48,363456,7296,7572,YES
2026-05-21T02:14:29Z,Big Timby,BUY,Serpentine helm (uncharged),1,3508937,0,3508937,YES
2026-05-21T01:54:48Z,Big Timby,SELL,Cadantine seed,39,295308,5928,7572,YES
2026-05-21T01:54:42Z,Big Timby,SELL,Cadantine seed,1,7572,152,7572,YES
2026-05-21T01:51:16Z,Big Timby,SELL,Cadantine seed,20,151440,3040,7572,YES
2026-05-21T01:51:07Z,Big Timby,SELL,Cadantine seed,14,106008,2128,7572,YES
2026-05-21T01:47:24Z,Big Timby,SELL,Bandos chaps,1,170072,3402,170072,YES
2026-05-21T01:38:57Z,Big Timby,BUY,Ancient hilt,1,37671685,0,37671685,YES
2026-05-21T01:22:05Z,Big Timby,BUY,Serpentine helm (uncharged),2,7017874,0,3508937,YES
2026-05-21T01:22:05Z,Big Timby,SELL,Armadyl helmet,1,8934634,178693,8934634,YES
2026-05-21T01:19:37Z,Big Timby,BUY,Serpentine helm (uncharged),1,3508937,0,3508937,YES
2026-05-21T01:17:19Z,Big Timby,SELL,Ruby dragon bolts (e),200,577800,11600,2889,YES
2026-05-21T01:13:51Z,Big Timby,SELL,Ruby dragon bolts (e),2000,5778000,116000,2889,YES
2026-05-21T01:12:34Z,Big Timby,SELL,Berserker necklace,1,2868019,57361,2868019,YES
2026-05-21T01:12:15Z,Big Timby,SELL,Bandos chaps,1,170072,3402,170072,YES
2026-05-21T01:10:50Z,Big Timby,SELL,Bandos chaps,1,170072,3402,170072,YES
2026-05-21T01:07:54Z,Big Timby,SELL,Ruby dragon bolts (e),200,577800,11600,2889,YES
2026-05-21T01:03:15Z,Big Timby,SELL,Ruby dragon bolts (e),100,288900,5800,2889,YES
2026-05-21T01:01:35Z,Big Timby,SELL,Ruby dragon bolts (e),200,577800,11600,2889,YES
2026-05-21T00:59:08Z,Big Timby,SELL,Ruby dragon bolts (e),100,288900,5800,2889,YES
2026-05-21T00:58:59Z,Big Timby,SELL,Ruby dragon bolts (e),200,577800,11600,2889,YES
2026-05-21T00:58:15Z,Big Timby,SELL,Ruby dragon bolts (e),200,577800,11600,2889,YES
2026-05-21T00:57:29Z,Big Timby,SELL,Ruby dragon bolts (e),200,577800,11600,2889,YES
2026-05-21T00:57:06Z,Big Timby,SELL,Ruby dragon bolts (e),1000,2889000,58000,2889,YES
2026-05-21T00:56:57Z,Big Timby,SELL,Ruby dragon bolts (e),30,86670,1740,2889,YES
2026-05-21T00:56:36Z,Big Timby,BUY,Serpentine helm (uncharged),1,3508937,0,3508937,YES
2026-05-21T00:56:32Z,Big Timby,SELL,Ruby dragon bolts (e),400,1155600,23200,2889,YES
2026-05-21T00:56:26Z,Big Timby,SELL,Ruby dragon bolts (e),500,1444500,29000,2889,YES
2026-05-21T00:55:59Z,Big Timby,SELL,Ruby dragon bolts (e),50,144450,2900,2889,YES
2026-05-21T00:54:47Z,Big Timby,SELL,Ruby dragon bolts (e),200,577800,11600,2889,YES
2026-05-21T00:53:54Z,Big Timby,SELL,Ruby dragon bolts (e),500,1444500,29000,2889,YES
2026-05-21T00:50:29Z,Big Timby,BUY,Ruby dragon bolts (e),957,2698740,0,2820,YES
2026-05-21T00:48:32Z,Big Timby,BUY,Ruby dragon bolts (e),378,1065960,0,2820,YES
2026-05-21T00:48:29Z,Big Timby,BUY,Ruby dragon bolts (e),288,812160,0,2820,YES
2026-05-21T00:47:51Z,Big Timby,BUY,Ruby dragon bolts (e),2118,5972760,0,2820,YES
2026-05-21T00:47:15Z,Big Timby,BUY,Ruby dragon bolts (e),262,738840,0,2820,YES
2026-05-21T00:46:41Z,Big Timby,SELL,Bandos chaps,1,170072,3402,170072,YES
2026-05-21T00:44:24Z,Big Timby,BUY,Ruby dragon bolts (e),50,141000,0,2820,YES
2026-05-21T00:43:22Z,Big Timby,BUY,Ruby dragon bolts (e),500,1410000,0,2820,YES
2026-05-21T00:42:46Z,Big Timby,SELL,Cadantine seed,11,83292,1672,7572,YES
2026-05-21T00:41:00Z,Big Timby,SELL,Archers ring,1,2717477,54350,2717477,YES
2026-05-21T00:39:10Z,Big Timby,SELL,Cadantine seed,40,302880,6080,7572,YES
2026-05-21T00:38:24Z,Big Timby,SELL,Cadantine seed,7,53214,1071,7572,YES
2026-05-21T00:38:02Z,Big Timby,BUY,Bandos chaps,4,666264,0,171557,YES
2026-05-21T00:36:50Z,Big Timby,BUY,Ruby dragon bolts (e),2000,5640000,0,2820,YES
2026-05-21T00:33:39Z,Big Timby,BUY,Armadyl helmet,1,8666577,0,8666577,YES
2026-05-21T00:11:17Z,Big Timby,SELL,Sulphur blades,1,107085,2142,107085,YES
2026-05-21T00:07:01Z,Big Timby,BUY,Ruby dragon bolts (e),90,253800,0,2820,YES
2026-05-21T00:03:52Z,Big Timby,SELL,Sulphur blades,1,107085,2142,107085,YES
2026-05-21T00:00:55Z,Big Timby,BUY,Ruby dragon bolts (e),578,1629960,0,2820,YES
2026-05-21T00:00:41Z,Big Timby,BUY,Ruby dragon bolts (e),112,315840,0,2820,YES
2026-05-20T23:57:44Z,Big Timby,SELL,Sulphur blades,1,107085,2142,107085,YES
2026-05-20T23:55:11Z,Big Timby,SELL,Nardah teleport,1,26595,532,26595,YES
2026-05-20T23:54:25Z,Big Timby,SELL,Nardah teleport,1,26595,532,26595,YES
2026-05-20T23:53:19Z,Big Timby,SELL,Nardah teleport,10,265950,5320,26595,YES
2026-05-20T23:53:10Z,Big Timby,SELL,Nardah teleport,1,26595,532,26595,YES
2026-05-20T23:52:46Z,Big Timby,SELL,Nardah teleport,1,26595,532,26595,YES
2026-05-20T23:52:02Z,Big Timby,BUY,Nardah teleport,6,153492,0,25582,YES
2026-05-20T23:48:15Z,Big Timby,BUY,Ruby dragon bolts (e),218,614760,0,2820,YES
2026-05-20T23:47:50Z,Big Timby,BUY,Ruby dragon bolts (e),56,157920,0,2820,YES
2026-05-20T23:45:15Z,Big Timby,BUY,Ruby dragon bolts (e),15,42300,0,2820,YES
2026-05-20T23:38:24Z,Big Timby,SELL,Sulphur blades,1,107085,2142,107085,YES
2026-05-20T23:35:05Z,Big Timby,SELL,Sulphur blades,1,107085,2142,107085,YES
2026-05-20T23:34:42Z,Big Timby,BUY,Berserker necklace,1,2760646,0,2760646,YES
2026-05-20T23:33:38Z,Big Timby,SELL,Sulphur blades,1,107085,2142,107085,YES
2026-05-20T23:33:23Z,Big Timby,BUY,Nardah teleport,30,767460,0,25582,YES
2026-05-20T23:26:49Z,Big Timby,BUY,Nardah teleport,11,281402,0,25582,YES
2026-05-20T23:24:20Z,Big Timby,BUY,Nardah teleport,124,3172168,0,25582,YES
2026-05-20T23:23:48Z,Big Timby,BUY,Nardah teleport,10,255820,0,25582,YES
2026-05-20T23:13:13Z,Big Timby,BUY,Sulphur blades,1,91366,0,91366,YES
2026-05-20T23:10:55Z,Big Timby,BUY,Archers ring,1,2620739,0,2620739,YES
2026-05-20T23:09:42Z,Big Timby,BUY,Sulphur blades,1,91366,0,91366,YES
2026-05-20T23:06:47Z,Big Timby,BUY,Sulphur blades,2,182732,0,91366,YES
2026-05-20T22:55:41Z,Big Timby,BUY,Torstol seed,3,50010,0,16670,YES
2026-05-20T22:54:23Z,Big Timby,BUY,Torstol seed,3,50010,0,16670,YES
2026-05-20T22:48:50Z,Big Timby,SELL,Pegasian boots,1,29900000,598000,29900000,NO
2026-05-20T22:48:44Z,Big Timby,SELL,Diamond dragon bolts (e),668,1901796,38076,2847,NO
2026-05-20T22:46:13Z,Big Timby,BUY,Torstol seed,10,166700,0,16670,YES
2026-05-20T22:45:29Z,Big Timby,BUY,Torstol seed,1,16670,0,16670,YES
2026-05-20T22:44:57Z,Big Timby,BUY,Sulphur blades,1,91366,0,91366,YES
2026-05-20T22:44:34Z,Big Timby,BUY,Torstol seed,3,50010,0,16670,YES
2026-05-20T22:44:30Z,Big Timby,BUY,Torstol seed,1,16670,0,16670,YES
2026-05-20T22:44:04Z,Big Timby,BUY,Torstol seed,6,100020,0,16670,YES
2026-05-20T22:43:52Z,Big Timby,BUY,Torstol seed,2,33340,0,16670,YES
2026-05-20T22:43:26Z,Big Timby,BUY,Torstol seed,4,66680,0,16670,YES
2026-05-20T22:43:25Z,Big Timby,BUY,Torstol seed,5,83350,0,16670,YES
2026-05-20T22:42:45Z,Big Timby,BUY,Torstol seed,8,133360,0,16670,YES
2026-05-20T22:42:33Z,Big Timby,BUY,Torstol seed,8,133360,0,16670,YES
2026-05-20T22:42:32Z,Big Timby,BUY,Torstol seed,2,33340,0,16670,YES
2026-05-20T22:42:10Z,Big Timby,BUY,Torstol seed,4,66680,0,16670,YES
2026-05-20T22:42:04Z,Big Timby,BUY,Torstol seed,1,16670,0,16670,YES
2026-05-20T22:41:26Z,Big Timby,SELL,Diamond dragon bolts (e),12,34164,684,2847,NO
2026-05-20T22:41:02Z,Big Timby,BUY,Torstol seed,2,33340,0,16670,YES
2026-05-20T22:40:22Z,Big Timby,BUY,Torstol seed,9,150030,0,16670,YES
2026-05-20T22:40:10Z,Big Timby,BUY,Torstol seed,15,250050,0,16670,YES
2026-05-20T22:40:01Z,Big Timby,BUY,Torstol seed,37,616790,0,16670,YES
2026-05-20T22:38:29Z,Big Timby,SELL,Diamond dragon bolts (e),100,284700,5700,2847,NO
2026-05-20T22:37:26Z,Big Timby,SELL,Diamond dragon bolts (e),30,85410,1710,2847,NO
2026-05-20T22:34:15Z,Big Timby,BUY,Nardah teleport,4,101460,0,25365,YES
2026-05-20T22:34:04Z,Big Timby,BUY,Nardah teleport,3,76095,0,25365,YES
2026-05-20T22:33:51Z,Big Timby,BUY,Cadantine seed,198,1414116,0,7142,YES
2026-05-20T22:33:00Z,Big Timby,SELL,Diamond dragon bolts (e),100,284700,5700,2847,NO
2026-05-20T22:27:50Z,Big Timby,SELL,Masori mask,1,12988036,259761,12988036,YES
2026-05-20T22:16:39Z,Big Timby,BUY,Sulphur blades,1,91366,0,91366,YES
2026-05-20T22:13:58Z,Big Timby,BUY,Torstol seed,1,16670,0,16670,YES
2026-05-20T22:13:45Z,Big Timby,BUY,Torstol seed,6,100020,0,16670,YES
2026-05-20T22:13:39Z,Big Timby,BUY,Torstol seed,6,100020,0,16670,YES
2026-05-20T22:13:25Z,Big Timby,BUY,Torstol seed,12,200040,0,16670,YES
2026-05-20T22:13:14Z,Big Timby,BUY,Torstol seed,3,50010,0,16670,YES
2026-05-20T22:13:04Z,Big Timby,BUY,Torstol seed,1,16670,0,16670,YES
2026-05-20T22:12:56Z,Big Timby,BUY,Torstol seed,1,16670,0,16670,YES
2026-05-20T22:12:53Z,Big Timby,BUY,Torstol seed,1,16670,0,16670,YES
2026-05-20T22:12:51Z,Big Timby,BUY,Torstol seed,6,100020,0,16670,YES
2026-05-20T22:12:47Z,Big Timby,BUY,Cadantine seed,2,14284,0,7142,YES
2026-05-20T22:10:17Z,Big Timby,BUY,Masori mask,1,12547343,0,12547343,YES
2026-05-20T22:10:17Z,Big Timby,SELL,Amulet of avarice,2,961024,19222,480512,YES
2026-05-20T22:10:17Z,Big Timby,SELL,Berserker necklace,1,2795282,55906,2795282,YES
2026-05-20T22:10:17Z,Big Timby,SELL,Berserker necklace,1,2795282,55906,2795282,NO
2026-05-20T22:10:17Z,Big Timby,SELL,Magic longbow,3824,4672928,95600,1222,YES
2026-05-20T21:05:34Z,Big Timby,BUY,Amulet of avarice,2,895642,0,447821,YES
2026-05-20T21:03:29Z,Big Timby,BUY,Magic longbow,2000,2390000,0,1195,YES
2026-05-20T21:03:21Z,Big Timby,SELL,Berserker necklace,1,2795282,55906,2795282,YES
2026-05-20T21:02:33Z,Big Timby,BUY,Magic longbow,951,1136445,0,1195,YES
2026-05-20T20:54:44Z,Big Timby,BUY,Magic longbow,1,1195,0,1195,YES
2026-05-20T20:46:50Z,Big Timby,BUY,Magic longbow,602,719390,0,1195,YES
2026-05-20T20:43:41Z,Big Timby,BUY,Magic longbow,12,14340,0,1195,YES
2026-05-20T20:22:58Z,Big Timby,BUY,Magic longbow,126,150570,0,1195,YES
2026-05-20T20:17:16Z,Big Timby,BUY,Magic longbow,5,5975,0,1195,YES
2026-05-20T20:14:02Z,Big Timby,BUY,Magic longbow,3,3585,0,1195,YES
2026-05-20T20:08:23Z,Big Timby,BUY,Berserker necklace,2,5445050,0,2722525,YES
2026-05-20T20:07:25Z,Big Timby,BUY,Magic longbow,124,148180,0,1195,YES
2026-05-20T19:58:43Z,Big Timby,SELL,Vial of blood,105,963270,19320,9174,YES
2026-05-20T19:55:13Z,Big Timby,BUY,Vial of blood,49,435659,0,8891,YES
2026-05-20T19:44:50Z,Big Timby,BUY,Vial of blood,29,257839,0,8891,YES
2026-05-20T19:43:23Z,Big Timby,BUY,Vial of blood,27,240057,0,8891,YES
2026-05-20T19:43:01Z,Big Timby,SELL,Guardian boots,1,2758930,55179,2758930,NO
2026-05-20T19:08:10Z,Big Timby,BUY,Bandos boots,1,1128363,0,1128363,YES
2026-05-20T19:01:27Z,Big Timby,BUY,Ranger boots,1,28887863,0,28887863,YES
2026-05-20T19:00:15Z,Big Timby,SELL,Guardian boots,1,2763383,55268,2763383,NO
2026-05-20T18:41:42Z,Big Timby,SELL,Magus ring,1,28141089,562822,28141089,YES
2026-05-20T18:36:10Z,Big Timby,SELL,Redwood sapling,35,1092595,21875,31217,YES
2026-05-20T18:28:03Z,Big Timby,BUY,Bandos boots,1,1092216,0,1092216,YES
2026-05-20T18:26:30Z,Big Timby,BUY,Magus ring,1,27548248,0,27548248,YES
2026-05-20T18:21:58Z,Big Timby,BUY,Black tourmaline core,1,1387975,0,1387975,YES
2026-05-20T18:21:37Z,Big Timby,BUY,Black tourmaline core,1,1387975,0,1387975,YES
2026-05-20T18:20:06Z,Big Timby,SELL,Bellator ring,1,29352431,587049,29352431,YES
2026-05-20T17:43:27Z,Big Timby,SELL,Inky paint,1,1184366,23688,1184366,YES
2026-05-20T17:39:44Z,Big Timby,SELL,Redwood sapling,1,32283,646,32283,YES
2026-05-20T17:37:15Z,Big Timby,SELL,Redwood sapling,1,32283,646,32283,YES
2026-05-20T17:37:05Z,Big Timby,BUY,Inky paint,1,925574,0,925574,YES
2026-05-20T17:30:11Z,Big Timby,SELL,Diamond bolts,2070,703800,14490,340,YES
2026-05-20T17:28:58Z,Big Timby,SELL,Redwood sapling,1,32283,646,32283,YES
2026-05-20T17:26:09Z,Big Timby,SELL,Cotton seed,150,1390350,27900,9269,YES
2026-05-20T17:24:52Z,Big Timby,SELL,Red dragon leather,1,2963,60,2850,YES
2026-05-20T17:22:18Z,Big Timby,BUY,Cotton seed,110,944240,0,8584,YES
2026-05-20T17:22:12Z,Big Timby,BUY,Cotton seed,40,343360,0,8584,YES
2026-05-20T17:19:31Z,Big Timby,SELL,Diamond bolts,8221,2795140,57547,340,YES
2026-05-20T17:16:18Z,Big Timby,BUY,Redwood sapling,36,843624,0,23434,YES
2026-05-20T17:13:28Z,Big Timby,BUY,Redwood sapling,2,46868,0,23434,YES
2026-05-20T17:11:52Z,Big Timby,SELL,Guardian boots,1,2757649,55153,2757649,NO
2026-05-20T17:10:27Z,Big Timby,SELL,Super attack(4),1696,3880448,78016,2288,YES
2026-05-20T17:09:24Z,Big Timby,BUY,Red dragon leather,1,2963,0,2963,YES
2026-05-20T17:06:19Z,Big Timby,BUY,Diamond dragon bolts,83,238210,0,2870,YES
2026-05-20T17:04:12Z,Big Timby,SELL,Anti-venom(4),605,4731100,94985,7820,YES
2026-05-20T17:02:52Z,Big Timby,BUY,Diamond dragon bolts,82,235340,0,2870,YES
2026-05-20T16:58:59Z,Big Timby,SELL,Super attack(4),9,20592,414,2288,YES
2026-05-20T16:57:32Z,Big Timby,SELL,Guardian boots,1,2757649,55153,2757649,NO
2026-05-20T16:56:49Z,Big Timby,SELL,Super attack(4),280,640640,12880,2288,YES
2026-05-20T16:54:17Z,Big Timby,BUY,Diamond dragon bolts,80,229600,0,2870,YES
2026-05-20T16:53:18Z,Big Timby,SELL,Super attack(4),15,34320,690,2288,YES
2026-05-20T16:52:29Z,Big Timby,BUY,Bandos boots,2,1951287,0,987000,YES
2026-05-20T16:51:47Z,Big Timby,BUY,Super attack(4),1923,4211370,0,2190,YES
2026-05-20T16:51:16Z,Big Timby,BUY,Black tourmaline core,1,1386381,0,1386381,YES
2026-05-20T16:50:51Z,Big Timby,BUY,Diamond dragon bolts,80,229600,0,2870,YES
2026-05-20T16:49:35Z,Big Timby,SELL,Anti-venom(4),10,78440,1570,7844,YES
2026-05-20T16:47:04Z,Big Timby,BUY,Diamond dragon bolts,80,229600,0,2870,YES
2026-05-20T16:45:14Z,Big Timby,BUY,Diamond dragon bolts,79,226730,0,2870,YES
2026-05-20T16:43:26Z,Big Timby,BUY,Diamond dragon bolts,79,226019,0,2861,YES
2026-05-20T16:41:25Z,Big Timby,BUY,Diamond dragon bolts,79,226019,0,2861,YES
2026-05-20T16:39:47Z,Big Timby,BUY,Diamond dragon bolts,54,154494,0,2861,YES
2026-05-20T16:37:56Z,Big Timby,BUY,Black tourmaline core,1,1386381,0,1386381,YES
2026-05-20T16:34:49Z,Big Timby,BUY,Super attack(4),77,167706,0,2178,YES
2026-05-20T16:34:22Z,Big Timby,BUY,Diamond dragon bolts,77,220297,0,2861,YES
2026-05-20T16:34:06Z,Big Timby,BUY,Bellator ring,1,28801429,0,28801429,YES
2026-05-20T16:30:17Z,Big Timby,BUY,Diamond dragon bolts,69,197409,0,2861,YES
2026-05-20T16:25:23Z,Big Timby,BUY,Diamond dragon bolts,68,194548,0,2861,YES
2026-05-20T16:13:34Z,Big Timby,SELL,Guardian boots,1,2759491,55190,2759491,NO
2026-05-20T16:13:15Z,Big Timby,BUY,Bandos boots,1,923505,0,923505,YES
2026-05-20T15:57:19Z,Big Timby,SELL,Infinity top,1,1798306,35967,1798306,YES
2026-05-20T15:57:18Z,Big Timby,BUY,Black tourmaline core,1,1385691,0,1386381,YES
2026-05-20T15:57:01Z,Big Timby,SELL,Burning claws,1,6789344,135787,6789344,YES
2026-05-20T15:55:37Z,Big Timby,SELL,Burning claws,1,6789344,135787,6789344,YES
2026-05-20T15:49:48Z,Big Timby,SELL,Diamond bolts,10,3400,70,340,YES
2026-05-20T15:49:35Z,Big Timby,SELL,Burning claws,1,6789344,135787,6789344,YES
2026-05-20T15:49:25Z,Big Timby,SELL,Diamond bolts,699,237660,4893,340,YES
2026-05-20T15:33:29Z,Big Timby,BUY,Burning claws,1,6612476,0,6612476,YES
2026-05-20T15:28:36Z,Big Timby,BUY,Burning claws,1,6612476,0,6612476,YES
2026-05-20T15:27:37Z,Big Timby,BUY,Burning claws,1,6612476,0,6612476,YES
2026-05-20T15:24:17Z,Big Timby,BUY,Aquanite hopper,1,9999997,0,10000954,YES
2026-05-20T15:22:50Z,Big Timby,SELL,Flared trousers,1,2852372,57048,2852372,YES
2026-05-20T15:21:17Z,Big Timby,SELL,Flared trousers,1,2853081,57062,2853081,YES
2026-05-20T15:21:05Z,Big Timby,SELL,Flared trousers,1,2853081,57062,2853081,YES
2026-05-20T15:11:14Z,Big Timby,SELL,Sanfew serum(4),214,3868478,77468,18077,YES
2026-05-20T15:05:45Z,Big Timby,SELL,Sanfew serum(4),100,1807700,36200,18077,YES
2026-05-20T15:01:02Z,Big Timby,SELL,Raw anglerfish,1959,3876861,78360,1979,YES
2026-05-20T14:57:27Z,Big Timby,SELL,Super restore(4),110,1240800,24860,11280,YES
2026-05-20T14:56:15Z,Big Timby,SELL,Super restore(4),200,2256000,45200,11280,YES
2026-05-20T14:55:42Z,Big Timby,SELL,Super restore(4),20,225600,4520,11280,YES
2026-05-20T14:55:07Z,Big Timby,SELL,Super restore(4),1000,11280000,226000,11280,YES
2026-05-20T14:54:24Z,Big Timby,SELL,Super restore(4),100,1128000,22600,11280,YES
2026-05-20T14:53:16Z,Big Timby,SELL,Super restore(4),100,1128000,22600,11280,YES
2026-05-20T14:53:15Z,Big Timby,SELL,Super restore(4),1,11280,226,11280,YES
2026-05-20T14:53:01Z,Big Timby,SELL,Super restore(4),25,282000,5650,11280,YES
2026-05-20T14:52:37Z,Big Timby,SELL,Super restore(4),100,1128000,22600,11280,YES
2026-05-20T14:51:43Z,Big Timby,SELL,Super restore(4),60,676800,13560,11280,YES
2026-05-20T14:51:26Z,Big Timby,SELL,Super restore(4),5,56400,1130,11280,YES
2026-05-20T14:51:25Z,Big Timby,SELL,Super restore(4),18,203040,4068,11280,YES
2026-05-20T14:51:19Z,Big Timby,SELL,Super restore(4),18,203040,4068,11280,YES
2026-05-20T14:51:18Z,Big Timby,SELL,Super restore(4),1,11280,226,11280,YES
2026-05-20T14:49:38Z,Big Timby,SELL,Super restore(4),2,22560,452,11280,YES
2026-05-20T14:49:27Z,Big Timby,SELL,Super restore(4),1,11280,226,11280,YES
2026-05-20T14:48:36Z,Big Timby,SELL,Super restore(4),6,67680,1356,11280,YES
2026-05-20T14:48:31Z,Big Timby,SELL,Super restore(4),20,225600,4520,11280,YES
2026-05-20T14:48:09Z,Big Timby,SELL,Super restore(4),20,225600,4520,11280,YES
2026-05-20T14:48:03Z,Big Timby,SELL,Super restore(4),3,33840,678,11280,YES
2026-05-20T14:47:46Z,Big Timby,SELL,Super restore(4),20,225600,4520,11280,YES
2026-05-20T14:47:44Z,Big Timby,SELL,Super restore(4),100,1128000,22600,11280,YES
2026-05-20T14:47:43Z,Big Timby,SELL,Super restore(4),30,338400,6780,11280,YES
2026-05-20T14:47:39Z,Big Timby,SELL,Super restore(4),40,451200,9040,11280,YES
2026-05-20T14:47:15Z,Big Timby,BUY,Super restore(4),2000,22012000,0,11006,YES
2026-05-20T14:46:39Z,Big Timby,SELL,Anti-venom(4),1,7912,159,7912,YES
2026-05-20T14:44:17Z,Big Timby,SELL,Raw anglerfish,444,878676,17760,1979,YES
2026-05-20T14:28:37Z,Big Timby,SELL,Sanfew serum(4),100,1816100,36400,18161,YES
2026-05-20T14:27:08Z,Big Timby,SELL,Sanfew serum(4),40,726440,14560,18161,YES
2026-05-20T14:26:29Z,Big Timby,SELL,Sanfew serum(4),61,1107943,22204,18161,YES
2026-05-20T14:12:10Z,Big Timby,SELL,Anti-venom(4),30,241440,4830,8048,YES
2026-05-20T14:07:21Z,Big Timby,SELL,Sanfew serum(4),1,18259,366,18259,YES
